DATE,CSUSHPINSA
2002-01-01,116.43700000000001
2002-02-01,116.91799999999999
2002-03-01,117.931
2002-04-01,119.211
2002-05-01,120.79
2002-06-01,122.334
2002-07-01,123.68700000000001
2002-08-01,124.729
2002-09-01,125.493
2002-10-01,126.135
2002-11-01,126.64
2002-12-01,127.149
2003-01-01,127.65100000000001
2003-02-01,128.327
2003-03-01,129.31
2003-04-01,130.49
2003-05-01,131.84
2003-06-01,133.225
2003-07-01,134.645
2003-08-01,135.963
2003-09-01,137.076
2003-10-01,137.97799999999998
2003-11-01,138.769
2003-12-01,139.632
2004-01-01,140.711
2004-02-01,142.034
2004-03-01,144.085
2004-04-01,146.18200000000002
2004-05-01,148.335
2004-06-01,150.518
2004-07-01,152.336
2004-08-01,153.813
2004-09-01,155.108
2004-10-01,156.299
2004-11-01,157.498
2004-12-01,158.674
2005-01-01,160.136
2005-02-01,161.93200000000002
2005-03-01,164.582
2005-04-01,167.0
2005-05-01,169.542
2005-06-01,172.013
2005-07-01,174.09599999999998
2005-08-01,175.923
2005-09-01,177.612
2005-10-01,178.755
2005-11-01,179.678
2005-12-01,180.112
2006-01-01,180.833
2006-02-01,181.50400000000002
2006-03-01,182.752
2006-04-01,183.649
2006-05-01,184.38099999999997
2006-06-01,184.551
2006-07-01,184.615
2006-08-01,184.41299999999998
2006-09-01,184.206
2006-10-01,184.06099999999998
2006-11-01,183.637
2006-12-01,183.235
2007-01-01,182.72400000000002
2007-02-01,182.477
2007-03-01,182.2
2007-04-01,182.138
2007-05-01,181.892
2007-06-01,181.548
2007-07-01,181.00099999999998
2007-08-01,180.243
2007-09-01,179.13099999999997
2007-10-01,177.541
2007-11-01,175.174
2007-12-01,173.34900000000002
2008-01-01,171.088
2008-02-01,169.201
2008-03-01,167.91299999999998
2008-04-01,167.331
2008-05-01,167.02900000000002
2008-06-01,166.548
2008-07-01,165.726
2008-08-01,164.291
2008-09-01,161.924
2008-10-01,159.171
2008-11-01,156.079
2008-12-01,152.554
2009-01-01,149.373
2009-02-01,147.629
2009-03-01,146.52700000000002
2009-04-01,146.957
2009-05-01,148.185
2009-06-01,149.81
2009-07-01,150.756
2009-08-01,150.672
2009-09-01,149.631
2009-10-01,148.591
2009-11-01,147.94899999999998
2009-12-01,146.679
2010-01-01,145.003
2010-02-01,143.05700000000002
2010-03-01,143.596
2010-04-01,145.395
2010-05-01,147.02700000000002
2010-06-01,147.69
2010-07-01,147.545
2010-08-01,146.404
2010-09-01,144.59
2010-10-01,143.125
2010-11-01,141.825
2010-12-01,140.637
2011-01-01,139.047
2011-02-01,137.743
2011-03-01,137.792
2011-04-01,139.155
2011-05-01,140.684
2011-06-01,141.934
2011-07-01,142.329
2011-08-01,141.77200000000002
2011-09-01,140.156
2011-10-01,138.399
2011-11-01,136.655
2011-12-01,135.158
2012-01-01,134.16299999999998
2012-02-01,133.997
2012-03-01,135.872
2012-04-01,138.484
2012-05-01,141.062
2012-06-01,143.18
2012-07-01,144.29
2012-08-01,144.711
2012-09-01,144.365
2012-10-01,143.977
2012-11-01,143.971
2012-12-01,143.878
2013-01-01,144.31799999999998
2013-02-01,145.165
2013-03-01,147.967
2013-04-01,150.982
2013-05-01,153.877
2013-06-01,156.447
2013-07-01,158.308
2013-08-01,159.417
2013-09-01,159.696
2013-10-01,159.579
2013-11-01,159.387
2013-12-01,159.308
2014-01-01,159.40200000000002
2014-02-01,159.908
2014-03-01,161.224
2014-04-01,163.0
2014-05-01,164.713
2014-06-01,166.24
2014-07-01,167.16299999999998
2014-08-01,167.47799999999998
2014-09-01,167.27
2014-10-01,166.93900000000002
2014-11-01,166.68900000000002
2014-12-01,166.498
2015-01-01,166.3
2015-02-01,166.69299999999998
2015-03-01,168.15099999999998
2015-04-01,170.02599999999998
2015-05-01,171.90400000000002
2015-06-01,173.505
2015-07-01,174.551
2015-08-01,174.998
2015-09-01,175.113
2015-10-01,175.12400000000002
2015-11-01,175.225
2015-12-01,175.203
2016-01-01,175.12
2016-02-01,175.361
2016-03-01,176.68
2016-04-01,178.574
2016-05-01,180.43
2016-06-01,182.016
2016-07-01,183.13299999999998
2016-08-01,183.785
2016-09-01,184.088
2016-10-01,184.169
2016-11-01,184.393
2016-12-01,184.581
2017-01-01,184.834
2017-02-01,185.218
2017-03-01,186.72400000000002
2017-04-01,188.73
2017-05-01,190.735
2017-06-01,192.477
2017-07-01,193.736
2017-08-01,194.588
2017-09-01,195.072
2017-10-01,195.34799999999998
2017-11-01,195.726
2017-12-01,196.136
2018-01-01,196.40599999999998
2018-02-01,197.208
2018-03-01,198.89
2018-04-01,200.949
2018-05-01,202.83700000000002
2018-06-01,204.415
2018-07-01,205.34799999999998
2018-08-01,205.80599999999998
